Prognosis,Symptom
(vertigo) Paroymsal  Positional Vertigo,vomiting
(vertigo) Paroymsal  Positional Vertigo,headache
(vertigo) Paroymsal  Positional Vertigo,nausea
(vertigo) Paroymsal  Positional Vertigo,spinning_movements
(vertigo) Paroymsal  Positional Vertigo,loss_of_balance
(vertigo) Paroymsal  Positional Vertigo,unsteadiness
AIDS,muscle_wasting
AIDS,patches_in_throat
AIDS,high_fever
AIDS,extra_marital_contacts
Acne,skin_rash
Acne,pus_filled_pimples
Acne,blackheads
Acne,scurring
Alcoholic hepatitis,vomiting
Alcoholic hepatitis,yellowish_skin
Alcoholic hepatitis,abdominal_pain
Alcoholic hepatitis,swelling_of_stomach
Alcoholic hepatitis,distention_of_abdomen
Alcoholic hepatitis,history_of_alcohol_consumption
Alcoholic hepatitis,fluid_overload
Allergy,continuous_sneezing
Allergy,shivering
Allergy,chills
Allergy,watering_from_eyes
Arthritis,muscle_weakness
Arthritis,stiff_neck
Arthritis,swelling_joints
Arthritis,movement_stiffness
Arthritis,painful_walking
Bronchial Asthma,fatigue
Bronchial Asthma,cough
Bronchial Asthma,high_fever
Bronchial Asthma,breathlessness
Bronchial Asthma,family_history
Bronchial Asthma,mucoid_sputum
Cervical spondylosis,back_pain
Cervical spondylosis,weakness_in_limbs
Cervical spondylosis,neck_pain
Cervical spondylosis,dizziness
Cervical spondylosis,loss_of_balance
Chicken pox,itching
Chicken pox,skin_rash
Chicken pox,fatigue
Chicken pox,lethargy
Chicken pox,high_fever
Chicken pox,headache
Chicken pox,loss_of_appetite
Chicken pox,mild_fever
Chicken pox,swelled_lymph_nodes
Chicken pox,malaise
Chicken pox,red_spots_over_body
Chronic cholestasis,itching
Chronic cholestasis,vomiting
Chronic cholestasis,yellowish_skin
Chronic cholestasis,nausea
Chronic cholestasis,loss_of_appetite
Chronic cholestasis,abdominal_pain
Chronic cholestasis,yellowing_of_eyes
Common Cold,continuous_sneezing
Common Cold,chills
Common Cold,fatigue
Common Cold,cough
Common Cold,high_fever
Common Cold,headache
Common Cold,swelled_lymph_nodes
Common Cold,malaise
Common Cold,phlegm
Common Cold,throat_irritation
Common Cold,redness_of_eyes
Common Cold,sinus_pressure
Common Cold,runny_nose
Common Cold,congestion
Common Cold,chest_pain
Common Cold,loss_of_smell
Common Cold,muscle_pain
Dengue,skin_rash
Dengue,chills
Dengue,joint_pain
Dengue,vomiting
Dengue,fatigue
Dengue,high_fever
Dengue,headache
Dengue,nausea
Dengue,loss_of_appetite
Dengue,pain_behind_the_eyes
Dengue,back_pain
Dengue,malaise
Dengue,muscle_pain
Dengue,red_spots_over_body
Diabetes ,fatigue
Diabetes ,weight_loss
Diabetes ,restlessness
Diabetes ,lethargy
Diabetes ,irregular_sugar_level
Diabetes ,blurred_and_distorted_vision
Diabetes ,obesity
Diabetes ,excessive_hunger
Diabetes ,increased_appetite
Diabetes ,polyuria
Dimorphic hemmorhoids(piles),constipation
Dimorphic hemmorhoids(piles),pain_during_bowel_movements
Dimorphic hemmorhoids(piles),pain_in_anal_region
Dimorphic hemmorhoids(piles),bloody_stool
Dimorphic hemmorhoids(piles),irritation_in_anus
Drug Reaction,itching
Drug Reaction,skin_rash
Drug Reaction,stomach_pain
Drug Reaction,burning_micturition
Drug Reaction,spotting_ urination
Fungal infection,itching
Fungal infection,skin_rash
Fungal infection,nodal_skin_eruptions
Fungal infection,dischromic _patches
GERD,stomach_pain
GERD,acidity
GERD,ulcers_on_tongue
GERD,vomiting
GERD,cough
GERD,chest_pain
Gastroenteritis,vomiting
Gastroenteritis,sunken_eyes
Gastroenteritis,dehydration
Gastroenteritis,diarrhoea
Heart attack,vomiting
Heart attack,breathlessness
Heart attack,sweating
Heart attack,chest_pain
Hepatitis B,itching
Hepatitis B,fatigue
Hepatitis B,lethargy
Hepatitis B,yellowish_skin
Hepatitis B,dark_urine
Hepatitis B,loss_of_appetite
Hepatitis B,abdominal_pain
Hepatitis B,yellow_urine
Hepatitis B,yellowing_of_eyes
Hepatitis B,malaise
Hepatitis B,receiving_blood_transfusion
Hepatitis B,receiving_unsterile_injections
Hepatitis C,fatigue
